timestamp,priority,base_fee_sat_vb,mempool_tx_count,recommended_fee_sat_vb
2025-12-19T07:47:38.036902+00:00,medium,1,48616,1
2025-12-19T07:47:38.036902+00:00,slow,1,48616,1
2025-12-19T07:54:12.447726+00:00,medium,1,49759,1
2025-12-19T07:55:33.023551+00:00,fast,4,49931,4
2025-12-19T07:55:33.023551+00:00,medium,1,49931,1
2025-12-19T07:55:33.023551+00:00,slow,1,49931,1
2025-12-19T07:57:51.968997+00:00,medium,1,50236,1
2025-12-19T07:59:16.759281+00:00,medium,1,50452,1
2025-12-19T08:04:29.389777+00:00,medium,3,51239,3
2025-12-19T08:14:35.676682+00:00,medium,4,52625,4
2025-12-19T08:33:33.036587+00:00,medium,2,49368,2
2025-12-19T08:34:26.145172+00:00,fast,3,49487,3
2025-12-19T08:34:26.145172+00:00,medium,3,49487,3
2025-12-19T08:34:26.145172+00:00,slow,2,49487,2
2025-12-19T08:34:32.276244+00:00,fast,3,49487,3
2025-12-19T08:34:32.276244+00:00,medium,3,49487,3
2025-12-19T08:34:32.276244+00:00,slow,2,49487,2
2025-12-19T08:34:48.756619+00:00,fast,3,49516,3
2025-12-19T08:34:48.756619+00:00,medium,3,49516,3
2025-12-19T08:34:48.756619+00:00,slow,2,49516,2
2025-12-19T08:35:32.436911+00:00,medium,3,49719,3
2025-12-19T08:35:59.381329+00:00,medium,3,49815,3
2025-12-19T08:36:40.738148+00:00,fast,3,49866,3
2025-12-19T08:36:40.738148+00:00,medium,3,49866,3
2025-12-19T08:36:40.738148+00:00,slow,2,49866,2
2025-12-19T08:37:04.588591+00:00,fast,3,49892,3
2025-12-19T08:37:04.588591+00:00,medium,3,49892,3
2025-12-19T08:37:04.588591+00:00,slow,2,49892,2
2025-12-19T08:38:15.815006+00:00,medium,3,50126,3
2025-12-19T08:38:54.440687+00:00,fast,3,50238,3
2025-12-19T08:38:54.440687+00:00,medium,3,50238,3
2025-12-19T08:38:54.440687+00:00,slow,2,50238,2
2025-12-19T08:42:52.673553+00:00,medium,1,46887,1
2025-12-19T08:42:59.771980+00:00,medium,1,46887,1
2025-12-19T08:43:17.626258+00:00,medium,1,46930,1
2025-12-19T08:43:55.495891+00:00,medium,1,45139,1
2025-12-19T08:43:58.421307+00:00,medium,1,45210,1
2025-12-19T08:54:09.442055+00:00,medium,1,51657,1
2025-12-19T08:54:14.031954+00:00,medium,1,51657,1
2025-12-19T08:54:17.947377+00:00,medium,1,51657,1
2025-12-19T09:01:59.179523+00:00,fast,3,55101,3
2025-12-19T09:02:18.366186+00:00,estimate,1,55204,1
2025-12-19T09:02:30.750093+00:00,estimate,1,55204,1
2025-12-19T09:02:44.405869+00:00,fast,3,55240,3
2025-12-19T09:02:44.405869+00:00,medium,1,55240,1
2025-12-19T09:02:44.405869+00:00,slow,1,55240,1
2025-12-19T09:06:54.212079+00:00,fast,4,57376,4
2025-12-19T09:06:54.212079+00:00,medium,1,57376,1
2025-12-19T09:06:54.212079+00:00,slow,1,57376,1
2025-12-19T09:07:17.041042+00:00,medium,1,57489,1
2025-12-19T09:27:54.997912+00:00,medium,1,55526,1
2025-12-19T09:28:02.617560+00:00,medium,1,55526,1
2025-12-19T09:31:50.669074+00:00,fast,1,58425,1
2025-12-19T09:31:50.669074+00:00,medium,1,58425,1
2025-12-19T09:31:50.669074+00:00,slow,1,58425,1
2025-12-19T09:32:12.049621+00:00,medium,1,58510,1
2025-12-19T09:33:30.706229+00:00,medium,1,54861,1
2025-12-19T09:37:12.167961+00:00,medium,1,55632,1
2025-12-19T09:37:23.590353+00:00,medium,1,55940,1
2025-12-19T09:37:25.039809+00:00,fast,1,55940,1
2025-12-19T09:37:25.039809+00:00,medium,1,55940,1
2025-12-19T09:37:25.039809+00:00,slow,1,55940,1
2025-12-19T09:37:41.789549+00:00,medium,1,55963,1
2025-12-19T09:37:43.236997+00:00,fast,1,55963,1
2025-12-19T09:37:43.236997+00:00,medium,1,55963,1
2025-12-19T09:37:43.236997+00:00,slow,1,55963,1
2025-12-19T09:42:15.011509+00:00,medium,1,52670,1
2025-12-19T09:42:16.227857+00:00,fast,1,52670,1
2025-12-19T09:42:16.227857+00:00,medium,1,52670,1
2025-12-19T09:42:16.227857+00:00,slow,1,52670,1
2025-12-19T09:43:04.389389+00:00,medium,1,48333,1
2025-12-19T09:43:08.689646+00:00,medium,1,48333,1
2025-12-19T09:43:48.896146+00:00,medium,1,48650,1
2025-12-19T09:44:45.216149+00:00,estimate,1,49094,1
2025-12-19T09:44:50.077634+00:00,estimate,1,49094,1
2025-12-20T09:45:30.304200+00:00,fast,1,36559,1
2025-12-20T09:45:30.304200+00:00,medium,1,36559,1
2025-12-20T09:45:30.304200+00:00,slow,1,36559,1
2025-12-20T09:47:05.539797+00:00,estimate,1,37507,1
2025-12-20T09:49:15.149520+00:00,estimate,1,38780,100
2025-12-20T09:49:21.439616+00:00,estimate,1,38780,100
2025-12-20T09:49:54.959976+00:00,estimate,1,39012,1
2025-12-20T09:50:08.400688+00:00,estimate,1,39061,2
2025-12-20T09:50:19.150315+00:00,estimate,1,39208,3
2025-12-20T09:50:35.232189+00:00,fast,1,39237,1
2025-12-20T09:50:35.232189+00:00,medium,1,39237,1
2025-12-20T09:50:35.232189+00:00,slow,1,39237,1
2025-12-20T09:54:55.376072+00:00,fast,1,37045,1
2025-12-20T09:54:55.376072+00:00,medium,1,37045,1
2025-12-20T09:54:55.376072+00:00,slow,1,37045,1
2025-12-20T09:55:22.267336+00:00,estimate,1,37345,1
2025-12-20T09:56:49.592838+00:00,estimate,1,38055,1
2025-12-20T10:33:59.126056+00:00,estimate,1,49571,1
2025-12-20T10:34:06.088214+00:00,estimate,1,49656,2
2025-12-20T10:34:08.246311+00:00,estimate,1,49656,3
2025-12-20T10:34:17.219850+00:00,estimate,1,49824,1
2025-12-20T10:34:21.100382+00:00,estimate,1,49824,3
2025-12-20T10:34:27.535296+00:00,estimate,1,49824,4
2025-12-20T10:34:31.419563+00:00,estimate,1,50146,111
2025-12-20T10:35:02.295525+00:00,estimate,1,50423,25
2025-12-20T11:08:22.113749+00:00,fast,1,51668,1
2025-12-20T11:08:22.113749+00:00,medium,1,51668,1
2025-12-20T11:08:22.113749+00:00,slow,1,51668,1
2025-12-20T11:08:26.312849+00:00,fast,1,51833,1
2025-12-20T11:08:26.312849+00:00,medium,1,51833,1
2025-12-20T11:08:26.312849+00:00,slow,1,51833,1
2025-12-20T11:08:39.571787+00:00,estimate,1,52011,1
2025-12-20T11:09:49.165879+00:00,medium,1,52307,1
2025-12-20T11:09:52.589317+00:00,estimate,1,52307,1
2025-12-20T11:11:28.944638+00:00,fast,1,52568,1
2025-12-20T11:11:28.944638+00:00,medium,1,52568,1
2025-12-20T11:11:28.944638+00:00,slow,1,52568,1
2025-12-20T11:11:58.416865+00:00,fast,1,52637,1
2025-12-20T11:11:58.416865+00:00,medium,1,52637,1
2025-12-20T11:11:58.416865+00:00,slow,1,52637,1
2025-12-20T11:14:47.093970+00:00,estimate,1,49187,1
2025-12-20T11:14:52.123259+00:00,estimate,1,49218,2
2025-12-20T11:14:54.698700+00:00,estimate,1,49218,3
2025-12-20T11:14:56.162858+00:00,estimate,1,49218,1
2025-12-20T11:14:57.597545+00:00,fast,1,49218,1
2025-12-20T11:14:57.597545+00:00,medium,1,49218,1
2025-12-20T11:14:57.597545+00:00,slow,1,49218,1
2025-12-20T11:14:59.756893+00:00,fast,1,49218,1
2025-12-20T11:14:59.756893+00:00,medium,1,49218,1
2025-12-20T11:14:59.756893+00:00,slow,1,49218,1
2025-12-20T11:15:57.162604+00:00,fast,1,49878,1
2025-12-20T11:15:57.162604+00:00,medium,1,49878,1
2025-12-20T11:15:57.162604+00:00,slow,1,49878,1
2025-12-20T11:16:02.199580+00:00,fast,1,50055,1
2025-12-20T11:16:02.199580+00:00,medium,1,50055,1
2025-12-20T11:16:02.199580+00:00,slow,1,50055,1
2025-12-20T11:16:06.050605+00:00,fast,1,50055,1
2025-12-20T11:16:06.050605+00:00,medium,1,50055,1
2025-12-20T11:16:06.050605+00:00,slow,1,50055,1
2025-12-20T11:16:06.528980+00:00,fast,1,50055,1
2025-12-20T11:16:06.528980+00:00,medium,1,50055,1
2025-12-20T11:16:06.528980+00:00,slow,1,50055,1
2025-12-20T11:20:23.690627+00:00,fast,1,51302,1
2025-12-20T11:20:23.690627+00:00,medium,1,51302,1
2025-12-20T11:20:23.690627+00:00,slow,1,51302,1
2025-12-20T11:26:08.749170+00:00,fast,2,52355,2
2025-12-20T11:26:08.749170+00:00,medium,1,52355,1
2025-12-20T11:26:08.749170+00:00,slow,1,52355,1
2025-12-20T11:28:25.328950+00:00,fast,2,52696,2
2025-12-20T11:28:25.328950+00:00,medium,1,52696,1
2025-12-20T11:28:25.328950+00:00,slow,1,52696,1
2025-12-20T11:29:21.663048+00:00,fast,2,52823,2
2025-12-20T11:29:21.663048+00:00,medium,1,52823,1
2025-12-20T11:29:21.663048+00:00,slow,1,52823,1
2025-12-20T11:30:32.026554+00:00,medium,1,53023,1
2025-12-20T11:30:36.309341+00:00,estimate,1,53023,1
2025-12-20T11:34:12.933296+00:00,fast,1,50531,1
2025-12-20T11:34:12.933296+00:00,medium,1,50531,1
2025-12-20T11:34:12.933296+00:00,slow,1,50531,1
2025-12-20T11:43:40.411920+00:00,fast,1,51566,1
2025-12-20T11:43:40.411920+00:00,medium,1,51566,1
2025-12-20T11:43:40.411920+00:00,slow,1,51566,1
2025-12-20T11:44:05.594655+00:00,fast,1,51620,1
2025-12-20T11:44:05.594655+00:00,medium,1,51620,1
2025-12-20T11:44:05.594655+00:00,slow,1,51620,1
2025-12-20T11:44:11.279723+00:00,fast,1,51620,1
2025-12-20T11:44:11.279723+00:00,medium,1,51620,1
2025-12-20T11:44:11.279723+00:00,slow,1,51620,1
2025-12-20T11:46:57.814998+00:00,fast,1,52065,1
2025-12-20T11:46:57.814998+00:00,medium,1,52065,1
2025-12-20T11:46:57.814998+00:00,slow,1,52065,1
2025-12-20T11:49:48.630535+00:00,fast,1,52522,1
2025-12-20T11:49:48.630535+00:00,medium,1,52522,1
2025-12-20T11:49:48.630535+00:00,slow,1,52522,1
2025-12-20T11:50:39.746891+00:00,fast,2,52694,2
2025-12-20T11:50:39.746891+00:00,medium,1,52694,1
2025-12-20T11:50:39.746891+00:00,slow,1,52694,1
2025-12-20T11:51:44.376191+00:00,fast,2,52872,2
2025-12-20T11:51:44.376191+00:00,medium,1,52872,1
2025-12-20T11:51:44.376191+00:00,slow,1,52872,1
2025-12-20T11:51:46.693073+00:00,fast,2,52872,2
2025-12-20T11:51:46.693073+00:00,medium,1,52872,1
2025-12-20T11:51:46.693073+00:00,slow,1,52872,1
2025-12-20T11:55:20.956908+00:00,fast,2,53490,2
2025-12-20T11:55:20.956908+00:00,medium,1,53490,1
2025-12-20T11:55:20.956908+00:00,slow,1,53490,1
2025-12-20T11:57:35.579036+00:00,fast,1,50160,1
2025-12-20T11:57:35.579036+00:00,medium,1,50160,1
2025-12-20T11:57:35.579036+00:00,slow,1,50160,1
2025-12-20T11:59:19.843672+00:00,fast,1,50764,1
2025-12-20T11:59:19.843672+00:00,medium,1,50764,1
2025-12-20T11:59:19.843672+00:00,slow,1,50764,1
2025-12-20T12:00:56.691746+00:00,fast,1,51245,1
2025-12-20T12:00:56.691746+00:00,medium,1,51245,1
2025-12-20T12:00:56.691746+00:00,slow,1,51245,1
2025-12-20T12:01:21.691156+00:00,fast,1,51276,1
2025-12-20T12:01:21.691156+00:00,medium,1,51276,1
2025-12-20T12:01:21.691156+00:00,slow,1,51276,1
2025-12-20T12:06:03.718404+00:00,fast,2,52113,2
2025-12-20T12:06:03.718404+00:00,medium,1,52113,1
2025-12-20T12:06:03.718404+00:00,slow,1,52113,1
2025-12-20T12:06:40.996965+00:00,fast,2,52280,2
2025-12-20T12:06:40.996965+00:00,medium,1,52280,1
2025-12-20T12:06:40.996965+00:00,slow,1,52280,1
2025-12-20T12:06:50.758917+00:00,estimate,1,52280,1
2025-12-20T12:06:56.822721+00:00,estimate,1,52280,2
2025-12-20T12:06:58.965102+00:00,estimate,1,52280,3
2025-12-20T12:07:06.228101+00:00,estimate,1,52527,1
2025-12-20T12:07:14.684255+00:00,estimate,1,52527,2
2025-12-20T12:07:16.843064+00:00,estimate,1,52527,3
2025-12-20T12:18:29.236952+00:00,fast,1,51936,1
2025-12-20T12:18:29.236952+00:00,medium,1,51936,1
2025-12-20T12:18:29.236952+00:00,slow,1,51936,1
2025-12-20T12:18:32.726827+00:00,fast,1,51936,1
2025-12-20T12:18:32.726827+00:00,medium,1,51936,1
2025-12-20T12:18:32.726827+00:00,slow,1,51936,1
2025-12-20T12:24:28.705559+00:00,fast,2,53288,2
2025-12-20T12:24:28.705559+00:00,medium,1,53288,1
2025-12-20T12:24:28.705559+00:00,slow,1,53288,1
2025-12-20T12:24:30.187090+00:00,fast,2,53288,2
2025-12-20T12:24:30.187090+00:00,medium,1,53288,1
2025-12-20T12:24:30.187090+00:00,slow,1,53288,1
2025-12-20T12:29:33.077420+00:00,fast,1,49700,1
2025-12-20T12:29:33.077420+00:00,medium,1,49700,1
2025-12-20T12:29:33.077420+00:00,slow,1,49700,1
2025-12-20T12:31:35.692710+00:00,fast,1,50160,1
2025-12-20T12:31:35.692710+00:00,medium,1,50160,1
2025-12-20T12:31:35.692710+00:00,slow,1,50160,1
2025-12-20T12:31:38.295819+00:00,fast,1,50160,1
2025-12-20T12:31:38.295819+00:00,medium,1,50160,1
2025-12-20T12:31:38.295819+00:00,slow,1,50160,1
2025-12-20T12:31:39.679429+00:00,fast,1,50160,1
2025-12-20T12:31:39.679429+00:00,medium,1,50160,1
2025-12-20T12:31:39.679429+00:00,slow,1,50160,1
2025-12-20T12:31:54.974550+00:00,fast,1,50197,1
2025-12-20T12:31:54.974550+00:00,medium,1,50197,1
2025-12-20T12:31:54.974550+00:00,slow,1,50197,1
2025-12-20T12:31:59.388866+00:00,fast,1,50249,1
2025-12-20T12:31:59.388866+00:00,medium,1,50249,1
2025-12-20T12:31:59.388866+00:00,slow,1,50249,1
2025-12-20T12:34:22.067398+00:00,estimate,1,50705,1
2025-12-20T12:34:27.618990+00:00,estimate,1,50733,1
2025-12-20T12:36:08.273672+00:00,estimate,1.0,51042,1.0
2025-12-20T12:36:16.916112+00:00,fast,2.0,51077,2.004
2025-12-20T12:36:16.916112+00:00,medium,1.0,51077,1.002
2025-12-20T12:36:16.916112+00:00,slow,1.0,51077,1.002
2025-12-20T12:36:23.074280+00:00,fast,2.0,51077,2.004
2025-12-20T12:36:23.074280+00:00,medium,1.0,51077,1.002
2025-12-20T12:36:23.074280+00:00,slow,1.0,51077,1.002
2025-12-20T12:36:30.318144+00:00,fast,2.0,51144,2.005
2025-12-20T12:36:30.318144+00:00,medium,1.0,51144,1.002
2025-12-20T12:36:30.318144+00:00,slow,1.0,51144,1.002
2025-12-20T12:36:55.827259+00:00,fast,2.0,51200,2.005
